parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRQA,EO.CA.TO.ENB..C75.20260320,-178
HRQA,EO.CA.TO.FTS..C78.20260320,-160
HRQA,EO.CA.TO.GWO..C69.20260220,-162
HRQA,EO.CA.TO.IGM..C68.20260220,-176
HRQA,EO.CA.TO.KEY..C46.20260220,-256
HRQA,EO.CA.TO.LUG..C125.20260220,-96
HRQA,EO.CA.TO.MFC..C54.20260220,-222
HRQA,EO.CA.TO.MG..C80.20260220,-147
HRQA,EO.CA.TO.NA..C174.20260220,-64
HRQA,EO.CA.TO.NTR..C96.20260220,-129
HRQA,EO.CA.TO.POW..C74.20260220,-156
HRQA,EO.CA.TO.PPL..C55.20260220,-218
HRQA,EO.CA.TO.QSR..C96.20260220,-114
HRQA,EO.CA.TO.RCI..C51.20260220.B,-215
HRQA,EO.CA.TO.RY..C240.20260220,-48
HRQA,EO.CA.TO.SLF..C89.20260220,-130
HRQA,EO.CA.TO.SU..C70.20260220,-189
HRQA,EO.CA.TO.TD..C135.20260220,-85
HRQA,EO.CA.TO.TRP..C78.20260220,-148
HRQA,ST.CA.TO.BAM,63391
HRQA,ST.CA.TO.BCE,146937
HRQA,ST.CA.TO.BEPC,89089
HRQA,ST.CA.TO.BMO,26098
HRQA,ST.CA.TO.BNS,46632
HRQA,ST.CA.TO.CHP.U,311855
HRQA,ST.CA.TO.CM,36432
HRQA,ST.CA.TO.CNQ,106679
HRQA,ST.CA.TO.CU,108949
HRQA,ST.CA.TO.CVE,203890
HRQA,ST.CA.TO.EMA,67720
HRQA,ST.CA.TO.ENB,71757
HRQA,ST.CA.TO.FTS,64453
HRQA,ST.CA.TO.GWO,68025
HRQA,ST.CA.TO.IGM,73879
HRQA,ST.CA.TO.KEY,107657
HRQA,ST.CA.TO.LUG,40263
HRQA,ST.CA.TO.MFC,93185
HRQA,ST.CA.TO.MG,61841
HRQA,ST.CA.TO.NA,26769
HRQA,ST.CA.TO.NTR,54312
HRQA,ST.CA.TO.POW,65565
HRQA,ST.CA.TO.PPL,91369
HRQA,ST.CA.TO.QSR,47963
HRQA,ST.CA.TO.RCI.B,90362
HRQA,ST.CA.TO.RY,20020
HRQA,ST.CA.TO.SLF,54794
HRQA,ST.CA.TO.SU,79318
HRQA,ST.CA.TO.TBIL,2560
HRQA,ST.CA.TO.TD,36283
HRQA,ST.CA.TO.TRP,62013
HRQB,EO.US.US.AMZN..C220.20260306,-137
HRQB,EO.US.US.AMZN..C245.20260220,-122
HRQB,ST.US.US.AMZN,91865
HRQD,EO.US.US.AMZN..C220.20260306,-797
HRQD,EO.US.US.AMZN..C245.20260220,-672
HRQD,ST.US.US.AMZN,457696
HRQE,EO.US.US.LLY..C1060.20260220,-41
HRQE,EO.US.US.LLY..C1070.20260306,-33
HRQE,ST.US.US.LLY,23051
HRQF,EO.US.US.AMD..C215.20260306,-451
HRQF,EO.US.US.AMD..C240.20260220,-779
HRQF,ST.US.US.AMD,396468
HRQG,EO.US.US.AVGO..C340.20260306,-500
HRQG,EO.US.US.AVGO..C350.20260220,-437
HRQG,ST.US.US.AVGO,297420
HRQH,EO.US.US.COIN..C170.20260306,-484
HRQH,EO.US.US.COIN..C250.20260220,-640
HRQH,ST.US.US.COIN,349670
HRQJ,EO.US.US.IBIT..C42.20260306,-1279
HRQJ,EO.US.US.IBIT..C55.20260220,-1528
