FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRV8,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260313,,MSTR  260313C00140000,MSTR US 03/13/26 C140 EQUITY,OP,0.0
HRQP,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C135.20260320,,MSTR  260320C00135000,MSTR US 03/20/26 C135 EQUITY,OP,0.0
HRV4,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260320,,MSTR  260320C00140000,MSTR US 03/20/26 C140 EQUITY,OP,0.0
HRV8,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260320,,MSTR  260320C00140000,MSTR US 03/20/26 C140 EQUITY,OP,0.0
HRQL,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260320,,MSTR  260320C00140000,MSTR US 03/20/26 C140 EQUITY,OP,0.0
HRTP,,,MTB,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MTB..C230.20260320,,MTB   260320C00230000,MTB US 03/20/26 C230 EQUITY,OP,0.0
HRVG,,,MTN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MTN..C140.20260320,,MTN   260320C00140000,MTN US 03/20/26 C140 EQUITY,OP,0.0
HR21,,,MU,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MU..C425.20260320,,MU    260320C00425000,MU US 03/20/26 C425 EQUITY,OP,0.0
HRQA,,,,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.NA..C180.20260320,,NA    260320C00180000,NA CN 03/20/26 C180. EQUITY,OP,0.0
HRQM,,,,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.NA..C180.20260320,,NA    260320C00180000,NA CN 03/20/26 C180. EQUITY,OP,0.0
HRCJ,,,,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.NA..C184.20260320,,NA    260320C00184000,NA CN 03/20/26 C184. EQUITY,OP,0.0
HRVG,,,NCLH,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NCLH..C23-5.20260320,,NCLH  260320C00023500,NCLH US 03/20/26 C23.5 EQUITY,OP,0.0
HRV9,,,NFLX,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NFLX..C83.20260306,,NFLX  260306C00083000,NFLX US 03/06/26 C83 EQUITY,OP,0.0
HRV9,,,NFLX,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NFLX..C79.20260320,,NFLX  260320C00079000,NFLX US 03/20/26 C79 EQUITY,OP,0.0
HRQP,,,NFLX,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NFLX..C79.20260320,,NFLX  260320C00079000,NFLX US 03/20/26 C79 EQUITY,OP,0.0
HRTM,GB00N90MH491,,NGG,,GBP,N,GB,,,,,,,,,,,,,,,EO.GB.L.NGG..C1400.20260320,,NGG   260320C01400000,NGG LN 03/20/26 C1400. EQUITY,OP,0.0
HR21,,,NOW,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NOW..C100.20260320,,NOW   260320C00100000,NOW US 03/20/26 C100 EQUITY,OP,0.0
HRQA,,,NTR,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.NTR..C102.20260320,,NTR   260320C00102000,NTR CN 03/20/26 C102. EQUITY,OP,0.0
HRVY,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C195.20260227,,NVDA  260227C00195000,NVDA US 02/27/26 C195 EQUITY,OP,0.0
HRVX,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C190.20260306,,NVDA  260306C00190000,NVDA US 03/06/26 C190 EQUITY,OP,0.0
HRVY,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C190.20260306,,NVDA  260306C00190000,NVDA US 03/06/26 C190 EQUITY,OP,0.0
HRCL,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C205.20260306,,NVDA  260306C00205000,NVDA US 03/06/26 C205 EQUITY,OP,0.0
HRVY,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C190.20260313,,NVDA  260313C00190000,NVDA US 03/13/26 C190 EQUITY,OP,0.0
HRQP,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C190.20260320,,NVDA  260320C00190000,NVDA US 03/20/26 C190 EQUITY,OP,0.0
HR21,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C192-5.20260320,,NVDA  260320C00192500,NVDA US 03/20/26 C192.5 EQUITY,OP,0.0
HRVX,,,NVDA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.NVDA..C195.20260320,,NVDA  260320C00195000,NVDA US 03/20/26 C195 EQUITY,OP,0.0
