FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRCL,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C362-5.20260220,,AVGO  260220C00362500,AVGO US 02/20/26 C362.5 EQUITY,OP,0.0
HRCL,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C367-5.20260220,,AVGO  260220C00367500,AVGO US 02/20/26 C367.5 EQUITY,OP,0.0
HRQG,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C340.20260306,,AVGO  260306C00340000,AVGO US 03/06/26 C340 EQUITY,OP,0.0
HRCL,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C390.20260306,,AVGO  260306C00390000,AVGO US 03/06/26 C390 EQUITY,OP,0.0
HRTP,,,BAC,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C53-5.20260220,,BAC   260220C00053500,BAC US 02/20/26 C53.5 EQUITY,OP,0.0
HRCL,,,BAC,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C55-5.20260220,,BAC   260220C00055500,BAC US 02/20/26 C55.5 EQUITY,OP,0.0
HRCL,,,BAC,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C56.20260220,,BAC   260220C00056000,BAC US 02/20/26 C56 EQUITY,OP,0.0
HRCL,,,BAC,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C58.20260306,,BAC   260306C00058000,BAC US 03/06/26 C58 EQUITY,OP,0.0
HRQA,,,BAM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BAM..C74.20260220,,BAM   260220C00074000,BAM CN 02/20/26 C74. EQUITY,OP,0.0
HRTM,,,BCE,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C34.20260220,,BCE   260220C00034000,BCE CN 02/20/26 C34. EQUITY,OP,0.0
