FundID,ISIN,CUSIP,Ticker,SEDOL,Basket Shares,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE
HRCL ,,,CAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..P700.20260306,,CAT   260306P00700000,CAT US 03/06/26 P700 EQUITY,OP
HRT9,,,CAT,,-86,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C770.20260320,,CAT   260320C00770000,CAT US 03/20/26 C770 EQUITY,OP
HRVP,,,CAT,,-8,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C770.20260320,,CAT   260320C00770000,CAT US 03/20/26 C770 EQUITY,OP
HRCL,,,CAT,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C810.20260320,,CAT   260320C00810000,CAT US 03/20/26 C810 EQUITY,OP
HRCL ,,,CAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..P695.20260320,,CAT   260320P00695000,CAT US 03/20/26 P695 EQUITY,OP
HRTG,,,CCI,,-16,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CCI..C90.20260320,,CCI   260320C00090000,CCI US 03/20/26 C90 EQUITY,OP
HRVG,,,CCL,,-178,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CCL..C30-5.20260320,,CCL   260320C00030500,CCL US 03/20/26 C30.5 EQUITY,OP
HRQ2,,,CCO,,-289,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260320,,CCO   260320C00170000,CCO CN 03/20/26 C170. Equity,OP
HRQ1,,,CCO,,-509,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260320,,CCO   260320C00170000,CCO CN 03/20/26 C170. Equity,OP
HRTP,,,CFG,,-305,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CFG..C62-5.20260320,,CFG   260320C00062500,CFG US 03/20/26 C62.5 EQUITY,OP
HRQL,,,CIFR,,-440,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CIFR..C16.20260320,,CIFR  260320C00016000,CIFR US 03/20/26 C16 EQUITY,OP
HRQL,,,CLSK,,-333,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CLSK..C10.20260320,,CLSK  260320C00010000,CLSK US 03/20/26 C10 EQUITY,OP
HRQA,,,CM,,-91,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C138.20260320,,CM    260320C00138000,CM CN 03/20/26 C138. Equity,OP
HRQM,,,CM,,-49,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C138.20260320,,CM    260320C00138000,CM CN 03/20/26 C138. Equity,OP
HRCJ,,,CM,,-29,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C142.20260320,,CM    260320C00142000,CM CN 03/20/26 C142. Equity,OP
HRCJ ,,,CM,,-19,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..P131.20260320,,CM    260320P00131000,CM CN 03/20/26 P131. Equity,OP
HRTM,,,CMCSA,,-901,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CMCSA..C32.20260320,,CMCSA 260320C00032000,CMCSA US 03/20/26 C32 EQUITY,OP
HRT0,,,CNQ,,-83,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C59.20260320,,CNQ   260320C00059000,CNQ CN 03/20/26 C59. Equity,OP
HRQ1,,,CNQ,,-1027,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C59.20260320,,CNQ   260320C00059000,CNQ CN 03/20/26 C59. Equity,OP
HRQR,,,CNQ,,-284,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C59.20260320,,CNQ   260320C00059000,CNQ CN 03/20/26 C59. Equity,OP
HRQA,,,CNQ,,-267,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C60.20260320,,CNQ   260320C00060000,CNQ CN 03/20/26 C60. Equity,OP
HRQM,,,CNR,,-29,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNR..C154.20260320,,CNR   260320C00154000,CNR CN 03/20/26 C154. Equity,OP
HRV2,,,COIN,,-50,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP
HRQH,,,COIN,,-484,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP
HRV2,,,COIN,,-113,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C175.20260320,,COIN  260320C00175000,COIN US 03/20/26 C175 EQUITY,OP
HRQH,,,COIN,,-874,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C175.20260320,,COIN  260320C00175000,COIN US 03/20/26 C175 EQUITY,OP
HRQP,,,COIN,,-29,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C175.20260320,,COIN  260320C00175000,COIN US 03/20/26 C175 EQUITY,OP
HRQL,,,COIN,,-83,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C180.20260320,,COIN  260320C00180000,COIN US 03/20/26 C180 EQUITY,OP
HRT0,,,COP,,-51,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COP..C112.20260320,,COP   260320C00112000,COP US 03/20/26 C112 EQUITY,OP
HRQL,,,CORZ,,-362,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CORZ..C18.20260320,,CORZ  260320C00018000,CORZ US 03/20/26 C18 EQUITY,OP
HRV6,,,COST,,-135,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C1015.20260306,,COST  260306C01015000,COST US 03/06/26 C1015 EQUITY,OP
HRV6,,,COST,,-133,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C1000.20260320,,COST  260320C01000000,COST US 03/20/26 C1000 EQUITY,OP
HRQP,,,COST,,-11,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C1005.20260320,,COST  260320C01005000,COST US 03/20/26 C1005 EQUITY,OP
HRQM,,,CP,,-43,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CP..C120.20260320,,CP    260320C00120000,CP CN 03/20/26 C120. Equity,OP
HRVG,,,CPA,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CPA..C145.20260320,,CPA   260320C00145000,CPA US 03/20/26 C145 EQUITY,OP
HRTG,,,CPT,,-25,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CPT..C110.20260320,,CPT   260320C00110000,CPT US 03/20/26 C110 EQUITY,OP
HRQ5,,,CRCL,,-754,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C60.20260306,,CRCL  260306C00060000,CRCL US 03/06/26 C60 EQUITY,OP
HRQP,,,CRCL,,-62,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C65.20260320,,CRCL  260320C00065000,CRCL US 03/20/26 C65 EQUITY,OP
HRQ5,,,CRCL,,-1633,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C65.20260320,,CRCL  260320C00065000,CRCL US 03/20/26 C65 EQUITY,OP
HR21,,,CRM,,-197,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRM..C180.20260320,,CRM   260320C00180000,CRM US 03/20/26 C180 EQUITY,OP
HRA8,,,CRWD,,-256,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRWD..C430.20260320,,CRWD  260320C00430000,CRWD US 03/20/26 C430 EQUITY,OP
HRQP,,,CRWD,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRWD..C440.20260320,,CRWD  260320C00440000,CRWD US 03/20/26 C440 EQUITY,OP
HR21,,,CSCO,,-1171,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CSCO..C79.20260320,,CSCO  260320C00079000,CSCO US 03/20/26 C79 EQUITY,OP
HRT9,,,CSCO,,-977,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CSCO..C79.20260320,,CSCO  260320C00079000,CSCO US 03/20/26 C79 EQUITY,OP
HRQA,,,CU,,-272,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CU..C47.20260320,,CU    260320C00047000,CU CN 03/20/26 C47. Equity,OP
HRQA,,,CVE,,-510,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CVE..C32-5.20260320,,CVE   260320C00032500,CVE CN 03/20/26 C32.5 Equity,OP
HRT0,,,CVX,,-24,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CVX..C187-5.20260320,,CVX   260320C00187500,CVX US 03/20/26 C187.5 EQUITY,OP
HRVG,,,CZR,,-30,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CZR..C20.20260320,,CZR   260320C00020000,CZR US 03/20/26 C20 EQUITY,OP
HRTM,,,D,,-464,USD,N,US,,,,,,,,,,,,,,,EO.US.US.D..C65.20260320,,D     260320C00065000,D US 03/20/26 C65 EQUITY,OP
HRVG,,,DAL,,-110,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DAL..C68.20260320,,DAL   260320C00068000,DAL US 03/20/26 C68 EQUITY,OP
HRVP,,,DAL,,-73,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DAL..C68.20260320,,DAL   260320C00068000,DAL US 03/20/26 C68 EQUITY,OP
HRVP,,,DE,,-15,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DE..C662-5.20260320,,DE    260320C00662500,DE US 03/20/26 C662.5 EQUITY,OP
HRTH,,,DHR,,-589,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DHR..C210.20260320,,DHR   260320C00210000,DHR US 03/20/26 C210 EQUITY,OP
HRTG,,,DLR,,-21,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DLR..C177-5.20260320,,DLR   260320C00177500,DLR US 03/20/26 C177.5 EQUITY,OP
HRTG,,,DOC,,-135,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DOC..C17-5.20260320,,DOC   260320C00017500,DOC US 03/20/26 C17.5 EQUITY,OP
HRQM,,,DOL,,-28,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.DOL..C195.20260320,,DOL   260320C00195000,DOL CN 03/20/26 C195. Equity,OP
HRQM,,,DSG,,-11,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.DSG..C96.20260320,,DSG   260320C00096000,DSG CN 03/20/26 C96. Equity,OP
HRT0,,,E,,-105,USD,N,US,,,,,,,,,,,,,,,EO.US.US.E..C45.20260320,,E     260320C00045000,E US 03/20/26 C45 EQUITY,OP
HRAS,,,EDV,,-1756,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EDV..C68.20260320,,EDV   260320C00068000,EDV US 03/20/26 C68 EQUITY,OP
HRTM,,,EIX,,-529,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EIX..C77-5.20260320,,EIX   260320C00077500,EIX US 03/20/26 C77.5 EQUITY,OP
